policy,policy_kind,target_bps,stop_bps,max_hold_ms,input_count,eligible_count,excluded_count,target_count,stop_count,timeout_count,target_rate,stop_rate,timeout_rate,positive_timeout_count,negative_timeout_count,negative_timeout_rate,avg_pnl_bps,median_pnl_bps,sum_pnl_bps,profit_factor,max_consecutive_losses
S0,candidate_ladder,400,-6000,10000,4317,4317,0,430,61,3826,0.09960620801482511,0.014130182997451933,0.8862636089877229,156,3003,0.7848928384736017,-477.29742876997915,-102.0,-2060493.0,0.08675603383512799,26
S0,candidate_ladder,500,-100,10000,4317,4317,0,337,3045,935,0.07806347000231642,0.7053509381514941,0.21658559184618947,152,116,0.12406417112299466,-26.059068797776234,-100.0,-112497.0,0.6389095741266193,26
S0,candidate_ladder,500,-200,10000,4317,4317,0,351,1275,2691,0.08130646282140375,0.2953439888811675,0.6233495482974287,166,1858,0.6904496469713861,-56.16608756080611,-102.0,-242469.0,0.4620872794553187,26
S0,candidate_ladder,500,-300,10000,4317,4317,0,355,1135,2827,0.08223303219828584,0.26291406069029416,0.65485290711142,166,1994,0.7053413512557482,-83.51424600416956,-102.0,-360531.0,0.36839920044987834,26
S0,candidate_ladder,500,-500,10000,4317,4317,0,360,955,3002,0.08339124391938846,0.22121843873059996,0.6953903173500116,175,2160,0.7195203197868087,-129.1774380356729,-102.0,-557659.0,0.27781310340451265,26
S0,candidate_ladder,500,-700,10000,4317,4317,0,366,804,3147,0.0847810979847116,0.1862404447533009,0.7289784572619875,179,2301,0.7311725452812202,-166.44405837387075,-102.0,-718539.0,0.23265313532551468,26
S0,candidate_ladder,500,-1000,10000,4317,4317,0,374,652,3291,0.0866342367384758,0.15103080843178132,0.7623349548297429,181,2443,0.7423275600121544,-212.22052351169793,-102.0,-916156.0,0.19516266190640175,26
S0,candidate_ladder,500,-1500,10000,4317,4317,0,380,499,3438,0.08802409080379893,0.11558952976604123,0.7963863794301599,183,2588,0.7527632344386271,-274.39680333564974,-102.0,-1184571.0,0.16002944152574042,26
S0,candidate_ladder,500,-2000,10000,4317,4317,0,388,407,3522,0.08987722955756312,0.09427843409775306,0.8158443363446838,183,2672,0.7586598523566156,-320.9284225156359,-102.0,-1385448.0,0.14220650969271822,26
S0,candidate_ladder,500,-3000,10000,4317,4317,0,392,260,3665,0.09080379893444522,0.060227009497336115,0.8489691915682187,184,2814,0.7678035470668486,-387.80449386147785,-102.0,-1674152.0,0.12161209945554338,26
S0,candidate_ladder,500,-5000,10000,4317,4317,0,395,110,3812,0.09149872596710679,0.025480657864257586,0.8830206161686356,185,2960,0.776495278069255,-458.17697475098447,-102.0,-1977950.0,0.10553061057445108,26
S0,candidate_ladder,500,-6000,10000,4317,4317,0,396,61,3860,0.0917303683113273,0.014130182997451933,0.8941394486912208,185,3008,0.7792746113989637,-469.82441510308087,-102.0,-2028232.0,0.10338257534062481,26
S0,candidate_ladder,700,-100,10000,4317,4317,0,289,3054,974,0.0669446374797313,0.7074357192494788,0.2256196432707899,191,116,0.11909650924024641,-13.728978457261988,-100.0,-59268.0,0.8103108357230643,26
S0,candidate_ladder,700,-200,10000,4317,4317,0,298,1284,2735,0.06902941857771601,0.2974287699791522,0.6335418114431318,209,1859,0.6797074954296161,-43.73893907806347,-102.0,-188821.0,0.5829086675988328,26
S0,candidate_ladder,700,-300,10000,4317,4317,0,302,1144,2871,0.0699559879545981,0.26499884178827887,0.665045170257123,209,1995,0.6948798328108673,-71.11026175584897,-102.0,-306983.0,0.4648796958535467,26
S0,candidate_ladder,700,-500,10000,4317,4317,0,306,964,3047,0.07088255733148019,0.22330321982858467,0.7058142228399351,219,2161,0.7092221857564818,-116.9886495251332,-102.0,-505040.0,0.34987146496470917,26
S0,candidate_ladder,700,-700,10000,4317,4317,0,312,812,3193,0.07227241139680333,0.1880935835070651,0.7396340050961315,223,2303,0.721265267773254,-154.34283066944639,-102.0,-666298.0,0.2931440174322263,26
S0,candidate_ladder,700,-1000,10000,4317,4317,0,319,659,3339,0.073893907806347,0.152652304841325,0.7734537873523281,226,2446,0.732554657082959,-200.3439888811675,-102.0,-864885.0,0.24590248266216996,26
